cod_ambito,cod_ine_ambito,nombre_ambito,cod_sexo,cod_gedad,fecha_defuncion,defunciones_observadas,defunciones_observadas_lim_inf,defunciones_observadas_lim_sup,defunciones_esperadas,defunciones_esperadas_q01,defunciones_esperadas_q99,,dia_mes
MD,13,"Madrid, Comunidad de",1,all,2019-03-15,46,46,46,54,38.69,70.31,,3-15
MD,13,"Madrid, Comunidad de",1,all,2020-03-15,109,109,109,54,38.69,70.31,,3-15
MD,13,"Madrid, Comunidad de",6,all,2019-03-15,58,58,58,53.5,37.69,72.74,,3-15
MD,13,"Madrid, Comunidad de",6,all,2020-03-15,110,110,110,54,37.69,70465,,3-15
MD,13,"Madrid, Comunidad de",all,all,2019-03-15,104,104,104,111,88.69,138775,,3-152019
MD,13,"Madrid, Comunidad de",all,all,2020-03-15,228,228,228,110.5,88.69,139465,,3-152020
MD,13,"Madrid, Comunidad de",6,all,2019-03-16,65,65,65,53,37.69,70465,,3-16
MD,13,"Madrid, Comunidad de",6,all,2020-03-16,111,111,111,54,37.69,70465,,3-16
MD,13,"Madrid, Comunidad de",1,all,2020-03-16,154,154,154,54,34.9,70.31,,3-16
MD,13,"Madrid, Comunidad de",all,all,2019-03-16,139,139,139,111,87.38,138775,,3-162019
MD,13,"Madrid, Comunidad de",all,all,2020-03-16,275,275,275,111,87845,139465,,3-162020
MD,13,"Madrid, Comunidad de",1,all,2019-03-17,62,62,62,54,34.9,70.31,,3-17
MD,13,"Madrid, Comunidad de",all,all,2019-03-17,117,117,117,111,87035,136705,,3-172019
MD,13,"Madrid, Comunidad de",all,all,2020-03-17,290,290,290.039722857473,111,88535,139465,,3-172020
MD,13,"Madrid, Comunidad de",1,all,2019-03-18,43,43,43,53.5,34.9,69.62,,3-18
MD,13,"Madrid, Comunidad de",1,all,2020-03-18,159,159,159.058463266196,54,34.9,68.93,,3-18
MD,13,"Madrid, Comunidad de",6,all,2020-03-18,130,130,130.054775717503,55,41535,70.93,,3-18
MD,13,"Madrid, Comunidad de",6,all,2019-03-18,57,57,57,54,39.69,69085,,3-18
MD,13,"Madrid, Comunidad de",all,all,2019-03-18,104,104,104,111,87035,136705,,3-182019
MD,13,"Madrid, Comunidad de",all,all,2020-03-18,298,298,298.070521859451,113.5,88535,139465,,3-182020
MD,13,"Madrid, Comunidad de",6,all,2019-03-19,70,70,70,55,40345,71.62,,3-19
MD,13,"Madrid, Comunidad de",6,all,2020-03-19,157,157,157.045674903993,55,41535,71.62,,3-19
MD,13,"Madrid, Comunidad de",1,all,2019-03-19,61,61,61,54,34.9,68.24,,3-19
MD,13,"Madrid, Comunidad de",1,all,2020-03-19,197,197,197.059893313911,54,34.9,66.31,,3-19
MD,13,"Madrid, Comunidad de",all,all,2019-03-19,132,132,132,114,87035,136705,,3-192019
MD,13,"Madrid, Comunidad de",all,all,2020-03-19,373,373,373.063773417533,114,88535,134655,,3-192020
MD,13,"Madrid, Comunidad de",6,all,2020-03-20,178,178,178.081436287135,56,41535,71.62,,3-20
MD,13,"Madrid, Comunidad de",all,all,2019-03-20,107,107,107,114.5,87035,134655,,3-202019
MD,13,"Madrid, Comunidad de",all,all,2020-03-20,441,441,441.092588901475,114,88535,134655,,3-202020
MD,13,"Madrid, Comunidad de",1,all,2019-03-21,50,50,50,55,34.9,66.31,,3-21
MD,13,"Madrid, Comunidad de",1,all,2020-03-21,251,251,251.083482014955,54.5,36.97,66.31,,3-21
MD,13,"Madrid, Comunidad de",6,all,2019-03-21,48,48,48,55,40345,71.62,,3-21
MD,13,"Madrid, Comunidad de",all,all,2019-03-21,100,100,100,115,87035,134655,,3-212019
MD,13,"Madrid, Comunidad de",all,all,2020-03-21,456,456,456.099679098614,114,94055,134965,,3-212020
MD,13,"Madrid, Comunidad de",6,all,2019-03-22,63,63,63,55,40345,71.62,,3-22
MD,13,"Madrid, Comunidad de",6,all,2020-03-22,156,156,156.065302013291,56.5,42225,71.62,,3-22
MD,13,"Madrid, Comunidad de",1,all,2019-03-22,51,51,51,55,36.97,66.31,,3-22
MD,13,"Madrid, Comunidad de",1,all,2020-03-22,212,212,212.050289580497,54,37.66,69.48,,3-22
MD,13,"Madrid, Comunidad de",all,all,2019-03-22,114,114,114,115,87035,134965,,3-222019
MD,13,"Madrid, Comunidad de",all,all,2020-03-22,391,391,391.074000634808,114.5,94055,136.31,,3-222020
MD,13,"Madrid, Comunidad de",6,all,2019-03-23,52,52,52,56.5,42225,71.62,,3-23
MD,13,"Madrid, Comunidad de",1,all,2020-03-23,218,218,218.076310791428,54,42.69,69.48,,3-23
MD,13,"Madrid, Comunidad de",all,all,2019-03-23,108,108,108,117.5,94055,136.31,,3-232019
MD,13,"Madrid, Comunidad de",all,all,2020-03-23,398,398,398.087589305564,114.5,98.38,136.31,,3-232020
MD,13,"Madrid, Comunidad de",1,all,2019-03-24,54,54,54,55,42.69,72.93,,3-24
MD,13,"Madrid, Comunidad de",1,all,2020-03-24,256,256,256.056304130416,54,43.69,72.93,,3-24
MD,13,"Madrid, Comunidad de",all,all,2019-03-24,107,107,107,115.5,99.69,136.31,,3-242019
MD,13,"Madrid, Comunidad de",all,all,2020-03-24,518,518,518.064162807354,114,98.07,138395,,3-242020
MD,13,"Madrid, Comunidad de",6,all,2019-03-25,49,49,49,56.5,41.76,76.72,,3-25
MD,13,"Madrid, Comunidad de",6,all,2020-03-25,200,200,200.070388026159,57,43.14,75.34,,3-25
MD,13,"Madrid, Comunidad de",1,all,2020-03-25,282,282,282.080639036615,54,43,72.93,,3-25
MD,13,"Madrid, Comunidad de",1,all,2019-03-25,56,56,56,54.5,43.69,72.93,,3-25
MD,13,"Madrid, Comunidad de",all,all,2019-03-25,106,106,106,115.5,98.07,138395,,3-252019
MD,13,"Madrid, Comunidad de",all,all,2020-03-25,512,512,512.100293986412,114,98.07,138395,,3-252020
MD,13,"Madrid, Comunidad de",1,all,2019-03-26,56,56,56,54,41.45,72.93,,3-26
MD,13,"Madrid, Comunidad de",1,all,2020-03-26,297,297,297.066413115887,53,41.45,72.93,,3-26
MD,13,"Madrid, Comunidad de",all,all,2019-03-26,126,126,126,114,97.38,138395,,3-262019
MD,13,"Madrid, Comunidad de",all,all,2020-03-26,552,552,552.075957759503,114,97.38,139085,,3-262020
MD,13,"Madrid, Comunidad de",1,all,2019-03-27,60,60,60,54.5,41.45,72.93,,3-27
MD,13,"Madrid, Comunidad de",1,all,2020-03-27,303,303,303.086307735745,53,41.45,74.31,,3-27
MD,13,"Madrid, Comunidad de",6,all,2020-03-27,215,215,215.116667089284,55.5,41.76,78445,,3-27
MD,13,"Madrid, Comunidad de",all,all,2019-03-27,125,125,125,114,97.38,139085,,3-272019
MD,13,"Madrid, Comunidad de",all,all,2020-03-27,550,550,551.132683415581,114,97.38,139085,,3-272020
MD,13,"Madrid, Comunidad de",6,all,2019-03-28,61,61,61,55,37.76,78445,,3-28
MD,13,"Madrid, Comunidad de",6,all,2020-03-28,250,250,250.117828667247,57,41.07,78445,,3-28
MD,13,"Madrid, Comunidad de",1,all,2019-03-28,49,49,49,53,41.45,74.31,,3-28
MD,13,"Madrid, Comunidad de",all,all,2019-03-28,112,112,112,114,97.38,139085,,3-282019
MD,13,"Madrid, Comunidad de",all,all,2020-03-28,592,591,592.146812730803,114,95.38,139.43,,3-282020
MD,13,"Madrid, Comunidad de",6,all,2020-03-29,223,223,223.074970621978,57,41.07,78445,,3-29
MD,13,"Madrid, Comunidad de",1,all,2019-03-29,55,55,55,52.5,39.38,74.31,,3-29
MD,13,"Madrid, Comunidad de",1,all,2020-03-29,291,291,291.066056486627,52,37.38,73.31,,3-29
MD,13,"Madrid, Comunidad de",all,all,2019-03-29,118,118,118,114,95.38,139.43,,3-292019
MD,13,"Madrid, Comunidad de",all,all,2020-03-29,534,534,534.093178881884,114,95.38,139.43,,3-292020
MD,13,"Madrid, Comunidad de",1,all,2019-03-30,53,53,53,52,37.38,72.62,,3-30
MD,13,"Madrid, Comunidad de",1,all,2020-03-30,244,244,244.093991156204,52,37.38,73.31,,3-30
MD,13,"Madrid, Comunidad de",6,all,2019-03-30,72,72,72,56,37.76,78445,,3-30
MD,13,"Madrid, Comunidad de",all,all,2019-03-30,127,127,127,114,95.38,139.43,,3-302019
MD,13,"Madrid, Comunidad de",all,all,2020-03-30,486,486,487.105769391799,114,95.38,139.43,,3-302020
MD,13,"Madrid, Comunidad de",6,all,2019-03-31,52,52,52,56,39.83,78445,,3-31
MD,13,"Madrid, Comunidad de",6,all,2020-03-31,203,203,203.083982910213,56.5,42.69,74.12,,3-31
MD,13,"Madrid, Comunidad de",all,all,2019-03-31,108,108,108,112,95.38,139.43,,3-312019
MD,13,"Madrid, Comunidad de",all,all,2020-03-31,474,474,474.103176827942,115,95.38,138155,,3-312020
MD,13,"Madrid, Comunidad de",6,all,2019-04-01,57,57,57,56,39.83,74.12,,4-1
MD,13,"Madrid, Comunidad de",1,all,2020-04-01,198,198,199.174279040245,52,37.38,73.31,,4-1
MD,13,"Madrid, Comunidad de",1,all,2019-04-01,65,65,65,52,37.38,71.93,,4-1
MD,13,"Madrid, Comunidad de",6,all,2020-04-01,193,193,193.107814966946,56,42.69,74.12,,4-1
MD,13,"Madrid, Comunidad de",6,all,2019-04-10,64,64,64,55,42.38,68.31,,4-10
MD,13,"Madrid, Comunidad de",1,all,2020-04-10,41,37.8421723770093,45.4688528608819,53.5,38.69,73.93,,4-10
MD,13,"Madrid, Comunidad de",all,all,2019-04-10,131,131,131,112.5,92.38,132155,,4-102019
MD,13,"Madrid, Comunidad de",all,all,2020-04-10,93,87.5372935418635,98.7685677515223,112,92.38,134515,,4-102020
MD,13,"Madrid, Comunidad de",1,all,2019-04-11,55,55,55,53,37.38,73.93,,4-11
MD,13,"Madrid, Comunidad de",1,all,2020-04-11,39,33.8441453711109,44.5025543789561,53,38.69,73.93,,4-11
MD,13,"Madrid, Comunidad de",6,all,2019-04-11,52,52,52,55,42.38,68.31,,4-11
MD,13,"Madrid, Comunidad de",6,all,2020-04-11,47,43.060942266701,52.2839010394985,55.5,42.38,68.31,,4-11
MD,13,"Madrid, Comunidad de",all,all,2019-04-11,108,108,108,113,92.38,134515,,4-112019
MD,13,"Madrid, Comunidad de",all,all,2020-04-11,93,86.1034720235667,100.238161106707,114.5,92.38,134515,,4-112020
MD,13,"Madrid, Comunidad de",6,all,2019-04-12,49,49,49,55,41.69,68.31,,4-12
MD,13,"Madrid, Comunidad de",6,all,2020-04-12,31,25.1907459200088,37.182445557967,56.25,42.38,71.48,,4-12
MD,13,"Madrid, Comunidad de",1,all,2020-04-12,32,27.1653480969784,38.2111102660946,53,38.38,73.93,,4-12
MD,13,"Madrid, Comunidad de",all,all,2019-04-01,124,124,124,112,95.38,138155,,4-12019
MD,13,"Madrid, Comunidad de",all,all,2020-04-01,419,418.876160194049,419.186937229378,113,95.38,138655,,4-12020
MD,13,"Madrid, Comunidad de",all,all,2019-04-12,107,107,107,115,92.38,134515,,4-122019
MD,13,"Madrid, Comunidad de",all,all,2020-04-12,67,59.0404743498726,75.3285497159463,115.5,92.38,134515,,4-122020
MD,13,"Madrid, Comunidad de",1,all,2019-04-13,47,47,47,53,36.69,73.93,,4-13
MD,13,"Madrid, Comunidad de",all,all,2019-04-13,109,109,109,116,92.38,134.86,,4-132019
MD,13,"Madrid, Comunidad de",all,all,2020-04-13,95,75.2103980168731,115.067152695435,115,92.38,134515,,4-132020
MD,13,"Madrid, Comunidad de",1,all,2019-04-02,74,74,74,52,38.76,71.93,,4-2
MD,13,"Madrid, Comunidad de",1,all,2020-04-02,145,145,146.183200089481,53,38.76,73.31,,4-2
MD,13,"Madrid, Comunidad de",all,all,2019-04-02,128,128,128,112,95.38,138655,,4-22019
MD,13,"Madrid, Comunidad de",all,all,2020-04-02,295,294.850464691679,295.217717431287,113.25,95.38,138655,,4-22020
MD,13,"Madrid, Comunidad de",6,all,2019-04-03,61,61,61,56,41.07,74.12,,4-3
MD,13,"Madrid, Comunidad de",6,all,2020-04-03,75,74.7370190681261,75.3706260339011,56,41.07,72465,,4-3
MD,13,"Madrid, Comunidad de",1,all,2020-04-03,70,69.7376811394987,70.3691611402958,53,38.76,71.62,,4-3
MD,13,"Madrid, Comunidad de",all,all,2019-04-03,115,115,115,112,93.38,138655,,4-32019
MD,13,"Madrid, Comunidad de",all,all,2020-04-03,167,166.603990801844,167.501938899602,114.75,95.38,138655,,4-32020
MD,13,"Madrid, Comunidad de",1,all,2019-04-04,52,52,52,53,38.76,69.62,,4-4
MD,13,"Madrid, Comunidad de",6,all,2019-04-04,48,48,48,56,41.76,72465,,4-4
MD,13,"Madrid, Comunidad de",6,all,2020-04-04,58,57.6929683352039,58.4245663572468,56,41.76,72,,4-4
MD,13,"Madrid, Comunidad de",all,all,2019-04-04,104,104,104,112,93.38,138655,,4-42019
MD,13,"Madrid, Comunidad de",all,all,2020-04-04,114,113.553211215107,115.560753572381,112,96.69,138.31,,4-42020
MD,13,"Madrid, Comunidad de",1,all,2019-04-05,67,67,67,53,37.38,69.62,,4-5
MD,13,"Madrid, Comunidad de",1,all,2020-04-05,63,62.7574363640091,63.3524502560078,53,40.07,69.62,,4-5
MD,13,"Madrid, Comunidad de",6,all,2020-04-05,62,61.7932714519734,62.307461150953,55,41.76,72,,4-5
MD,13,"Madrid, Comunidad de",all,all,2019-04-05,138,138,138,112,94.76,136.93,,4-52019
MD,13,"Madrid, Comunidad de",all,all,2020-04-05,136,135.656204364063,136.448101653289,112.5,96.69,138.31,,4-52020
MD,13,"Madrid, Comunidad de",6,all,2019-04-06,55,55,55,55,41.76,72,,4-6
MD,13,"Madrid, Comunidad de",6,all,2020-04-06,62,60.58339601709,62.5550915492905,55,41.76,71.31,,4-6
MD,13,"Madrid, Comunidad de",1,all,2019-04-06,49,49,49,53.5,40.07,69.62,,4-6
MD,13,"Madrid, Comunidad de",all,all,2019-04-06,109,109,109,112,95.45,136.93,,4-62019
MD,13,"Madrid, Comunidad de",all,all,2020-04-06,129,127.318682482518,129.821174673244,111.5,97,138.31,,4-62020
MD,13,"Madrid, Comunidad de",6,all,2020-04-07,52,51.6219907686406,53.5067586110211,55,40.38,69.93,,4-7
MD,13,"Madrid, Comunidad de",6,all,2019-04-07,57,57,57,55,40.38,71.31,,4-7
MD,13,"Madrid, Comunidad de",all,all,2019-04-07,115,115,115,112.5,95.45,136.93,,4-72019
MD,13,"Madrid, Comunidad de",all,all,2020-04-07,117,116.389499401255,118.740478839336,112.5,97,138.31,,4-72020
MD,13,"Madrid, Comunidad de",1,all,2019-04-08,49,49,49,53,38.69,70.24,,4-8
MD,13,"Madrid, Comunidad de",1,all,2020-04-08,62,60.3281907928013,62.8368898103476,54,38.69,68.86,,4-8
MD,13,"Madrid, Comunidad de",6,all,2019-04-08,48,48,48,55,40.38,69.93,,4-8
MD,13,"Madrid, Comunidad de",6,all,2020-04-08,51,50.4280983838046,51.7247416033996,55,40.38,69.24,,4-8
MD,13,"Madrid, Comunidad de",all,all,2019-04-08,102,102,102,113,95.45,136.93,,4-82019
MD,13,"Madrid, Comunidad de",all,all,2020-04-08,135,133.081452660004,136.075781704086,113,95.76,133.24,,4-82020
MD,13,"Madrid, Comunidad de",6,all,2019-04-09,50,50,50,55,42.38,69.24,,4-9
MD,13,"Madrid, Comunidad de",6,all,2020-04-09,34,31.926651288679,35.2761185516489,55,42.38,68.31,,4-9
MD,13,"Madrid, Comunidad de",all,all,2019-04-09,111,111,111,113.75,92.69,133.24,,4-92019
MD,13,"Madrid, Comunidad de",all,all,2020-04-09,79,77.3577329302869,81.8453599657263,113,95.76,133585,,4-92020
MD,13,"Madrid, Comunidad de",1,all,2019-03-16,69,69,69,54,38.69,70.31,,
MD,13,"Madrid, Comunidad de",6,all,2019-03-17,54,54,54,53.5,38.38,69085,,
MD,13,"Madrid, Comunidad de",1,all,2019-03-20,54,54,54,54,34.9,66.31,,
MD,13,"Madrid, Comunidad de",6,all,2019-03-20,51,51,51,55,40345,71.62,,
MD,13,"Madrid, Comunidad de",1,all,2019-03-23,54,54,54,55,37.66,69.48,,
MD,13,"Madrid, Comunidad de",6,all,2019-03-24,52,52,52,57,40035,71.62,,
MD,13,"Madrid, Comunidad de",6,all,2019-03-26,68,68,68,55.5,37.76,75.34,,
MD,13,"Madrid, Comunidad de",6,all,2019-03-27,64,64,64,55.5,37.76,74.65,,
MD,13,"Madrid, Comunidad de",6,all,2019-03-29,58,58,58,56,37.76,78445,,
MD,13,"Madrid, Comunidad de",1,all,2019-03-31,54,54,54,52,37.38,71.93,,
MD,13,"Madrid, Comunidad de",6,all,2019-04-02,49,49,49,56,41.07,74.12,,
MD,13,"Madrid, Comunidad de",1,all,2019-04-03,49,49,49,52.5,38.76,71.93,,
MD,13,"Madrid, Comunidad de",6,all,2019-04-05,65,65,65,56,41.76,72,,
MD,13,"Madrid, Comunidad de",1,all,2019-04-07,54,54,54,53,40.07,68.31,,
MD,13,"Madrid, Comunidad de",1,all,2019-04-09,58,58,58,54,38.69,69.55,,
MD,13,"Madrid, Comunidad de",1,all,2019-04-10,59,59,59,53,37.38,70.93,,
MD,13,"Madrid, Comunidad de",1,all,2019-04-12,56,56,56,53,38.07,73.93,,
MD,13,"Madrid, Comunidad de",6,all,2019-04-13,59,59,59,56,41.69,69,,
MD,13,"Madrid, Comunidad de",1,all,2020-03-17,160,160,160.034979397509,53,34.9,69.62,,
MD,13,"Madrid, Comunidad de",6,all,2020-03-17,121,121,121.03691893338,54,41535,70465,,
MD,13,"Madrid, Comunidad de",1,all,2020-03-20,249,249,249.062963682556,54,34.9,66.31,,
MD,13,"Madrid, Comunidad de",6,all,2020-03-21,179,179,179.081262465521,55,41535,71.62,,
MD,13,"Madrid, Comunidad de",6,all,2020-03-23,166,166,166.056108006743,57,42225,71.62,,
MD,13,"Madrid, Comunidad de",6,all,2020-03-24,225,225,225.044410191705,57,43.14,76.72,,
MD,13,"Madrid, Comunidad de",6,all,2020-03-26,229,229,229.049652996242,57,43.14,76.03,,
MD,13,"Madrid, Comunidad de",1,all,2020-03-28,312,312,312.1142110175,52.5,39.38,74.31,,
MD,13,"Madrid, Comunidad de",6,all,2020-03-30,221,221,221.066063984276,56.5,41.07,78445,,
MD,13,"Madrid, Comunidad de",1,all,2020-03-31,245,245,245.082426339484,52,37.38,73.31,,
MD,13,"Madrid, Comunidad de",6,all,2020-04-02,129,129,129.148038914576,56,41.07,74.12,,
MD,13,"Madrid, Comunidad de",1,all,2020-04-04,41,40.7028243228187,41.4123537214087,52,39.45,71.62,,
MD,13,"Madrid, Comunidad de",1,all,2020-04-06,53,52.5125000410673,53.6301366681159,53,40.07,67.62,,
MD,13,"Madrid, Comunidad de",1,all,2020-04-07,51,50.5529586073775,51.5818411931473,53,38.69,70.24,,
MD,13,"Madrid, Comunidad de",1,all,2020-04-09,33,31.8211361494864,35.3875543927849,53.5,38.69,70.93,,
MD,13,"Madrid, Comunidad de",6,all,2020-04-10,46,43.0470622164957,49.2595689245445,55,42.38,68.31,,
MD,13,"Madrid, Comunidad de",1,all,2020-04-13,48,34.7453669772642,62.5230822121366,53,38.38,73.93,,
MD,13,"Madrid, Comunidad de",6,all,2020-04-13,46,31.5714807242817,59.7260177757799,56.25,42.38,71.48,,
